strDrink,strDrinkThumb,idDrink
Gagliardo,https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,12758
Garibaldi Negroni,https://www.thecocktaildb.com/images/media/drink/kb4bjg1604179771.jpg,178340
Gentleman's Club,https://www.thecocktaildb.com/images/media/drink/k2r7wv1582481454.jpg,11396
Gideon's Green Dinosaur,https://www.thecocktaildb.com/images/media/drink/p5r0tr1503564636.jpg,17002
Gimlet,https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg,17255
Gin and Soda,https://www.thecocktaildb.com/images/media/drink/nzlyc81605905755.jpg,178342
Gin And Tonic,https://www.thecocktaildb.com/images/media/drink/z0omyp1582480573.jpg,11403
Gin Basil Smash,https://www.thecocktaildb.com/images/media/drink/jqh2141572807327.jpg,178314
Gin Cooler,https://www.thecocktaildb.com/images/media/drink/678xt11582481163.jpg,11407
Gin Daisy,https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg,11408
Gin Fizz,https://www.thecocktaildb.com/images/media/drink/drtihp1606768397.jpg,11410
Gin Rickey,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,17230
Gin Sling,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg,11415
Gin Smash,https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,11416
Gin Sour,https://www.thecocktaildb.com/images/media/drink/noxp7e1606769224.jpg,11417
Gin Squirt,https://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,11418
Gin Swizzle,https://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,11419
Gin Toddy,https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg,11420
Girl From Ipanema,https://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg,17175
Godchild,https://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,11422
Godfather,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg,11423
Godmother,https://www.thecocktaildb.com/images/media/drink/quksqg1582582597.jpg,11424
Golden dream,https://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg,17199
Grand Blue,https://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,15427
Grass Skirt,https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,11433
Grasshopper,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,17200
Green Goblin,https://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,13497
Greyhound,https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg,17252
Grim Reaper,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,14642
Grizzly Bear,https://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,12762
H.D.,https://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,16262
Halloween Punch,https://www.thecocktaildb.com/images/media/drink/7hcgyj1571687671.jpg,178313
Happy Skipper,https://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,12766
Harvey Wallbanger,https://www.thecocktaildb.com/images/media/drink/7os4gs1606854357.jpg,11462
Havana Cocktail,https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,11470
Hawaiian Cocktail,https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,11472
